time,open,high,low,close,triggerTop,triggerBottom,Setup trigger up,Symbol success up,Symbol fail up,Setup trigger down,Symbol success down,Symbol fail down,bar_index,bix_threshold,array.size(imba),Fractal High,Fractal Low,HH,LH,LL,HL,triggerTop,triggerBottom,Setup trigger up,Symbol success up,Symbol fail up,Setup trigger down,Symbol success down,Symbol fail down,Tick (Open),Tick (High,Tick (Low),Tick (Close)
1683760200,4154.25,4154.5,4153.75,4154,0,0,0,0,0,0,0,0,18641,18541,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683760500,4154.25,4154.25,4153.5,4153.75,0,0,0,0,0,0,0,0,18642,18542,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683760800,4154,4155.5,4153.75,4155.5,0,0,0,0,0,0,0,0,18643,18543,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683761100,4155.25,4155.5,4154.5,4154.75,0,0,0,0,0,0,0,0,18644,18544,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683761400,4155,4155.25,4154.75,4155,0,0,0,0,0,0,0,0,18645,18545,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683761700,4155,4155.25,4154.25,4155,0,0,0,0,0,0,0,0,18646,18546,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683762000,4155.25,4157.5,4155,4157.25,0,0,0,0,0,0,0,0,18647,18547,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683762300,4157.25,4157.5,4156.75,4156.75,0,0,0,0,0,0,0,0,18648,18548,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683762600,4156.75,4159,4156.75,4157.75,0,0,0,0,0,0,0,0,18649,18549,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683762900,4157.75,4158.25,4157,4157,0,0,0,0,0,0,0,0,18650,18550,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683763200,4157.25,4161.5,4157.25,4159.5,0,0,0,0,0,0,0,0,18651,18551,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683763500,4159.5,4161.25,4159.5,4161,0,0,0,0,0,0,0,0,18652,18552,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683763800,4161.25,4161.25,4159.5,4159.75,0,0,0,0,0,0,0,0,18653,18553,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683764100,4160,4160.25,4158.5,4158.5,0,0,0,0,0,0,0,0,18654,18554,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683764400,4158.5,4159.75,4158,4159.25,0,0,0,0,0,0,0,0,18655,18555,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683764700,4159.25,4159.5,4158.25,4158.75,0,0,0,0,0,0,0,0,18656,18556,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683765000,4158.75,4159,4157.5,4159,0,0,0,0,0,0,0,0,18657,18557,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683765300,4159,4160.25,4158.75,4159.75,0,0,0,0,0,0,0,0,18658,18558,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683765600,4160,4160,4158.75,4159,0,0,0,0,0,0,0,0,18659,18559,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683765900,4159.25,4160.75,4159,4160.75,0,0,0,0,0,0,0,0,18660,18560,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683766200,4160.75,4163.5,4160,4162.75,1,0,0,0,0,0,0,0,18661,18561,500,NaN,NaN,NaN,NaN,NaN,NaN,1,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683766500,4162.75,4162.75,4161,4161.75,0,0,0,0,0,0,0,0,18662,18562,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683766800,4161.75,4162,4160.5,4160.5,0,0,0,0,0,0,0,0,18663,18563,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683767100,4160.75,4161.5,4160.5,4160.75,0,0,0,0,0,0,0,0,18664,18564,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683767400,4160.75,4162.5,4160.75,4162,0,0,0,0,0,0,0,0,18665,18565,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683767700,4162.25,4164.5,4162.25,4163.5,0,0,0,0,0,0,0,0,18666,18566,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683768000,4163.25,4163.25,4161.5,4162,0,0,0,0,0,0,0,0,18667,18567,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683768300,4162,4162.25,4161.25,4161.75,0,0,0,0,0,0,0,0,18668,18568,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683768600,4161.75,4161.75,4160.25,4160.75,0,0,0,0,0,0,0,0,18669,18569,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683768900,4160.5,4160.75,4159.75,4160.5,0,0,0,0,0,0,0,0,18670,18570,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
1683769200,4160.5,4160.5,4159.75,4160.25,0,0,0,0,0,0,0,0,18671,18571,500,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
